   127/499     10.4G   0.03135   0.08931  0.006261    0.1269       301      1376    0.6157    0.5221    0.5366    0.3175   0.04026    0.3989   0.02563
   128/499     10.4G    0.0313   0.08871  0.006197    0.1262       237      1376    0.5903    0.5416    0.5365     0.318   0.04026    0.3988   0.02563
   129/499     10.4G    0.0312   0.09025  0.006113    0.1276       108      1376    0.5878    0.5428     0.537    0.3183   0.04025    0.3989   0.02558
   130/499     10.4G   0.03137   0.09027  0.006259    0.1279       131      1376    0.6128    0.5247    0.5374    0.3181   0.04024    0.3991   0.02553
   131/499     10.4G   0.03131   0.09133  0.006111    0.1287       188      1376    0.6183    0.5215    0.5376    0.3181   0.04022    0.3993   0.02551
   132/499     10.4G   0.03126   0.08892  0.006192    0.1264       267      1376    0.5881    0.5452    0.5381    0.3186    0.0402    0.3991   0.02548
   133/499     10.8G   0.03132   0.08977  0.006175    0.1273        52      1376    0.5866    0.5476    0.5385    0.3188   0.04019    0.3991   0.02549
   134/499     10.8G   0.03128   0.08963  0.006213    0.1271       248      1376    0.6033    0.5368    0.5385    0.3186   0.04018    0.3994   0.02547
   135/499     10.8G   0.03129   0.08884  0.006174    0.1263       228      1376    0.6001      0.54     0.539    0.3187   0.04017    0.3995   0.02546
   136/499     10.8G   0.03107   0.08909  0.006129    0.1263       218      1376    0.6078    0.5342    0.5392    0.3189   0.04015    0.3998   0.02544
   137/499     10.8G   0.03129    0.0897  0.006133    0.1271       456      1376    0.6137    0.5308    0.5397     0.319   0.04014       0.4   0.02541
   138/499     10.8G   0.03109   0.08921   0.00616    0.1265       330      1376    0.6224    0.5239    0.5396    0.3191   0.04012    0.4002    0.0254
   139/499     10.8G   0.03129   0.08896  0.006072    0.1263        84      1376    0.6162    0.5293    0.5406    0.3193    0.0401    0.4004   0.02537
   140/499     10.8G   0.03122   0.08975  0.006073     0.127       200      1376    0.6143    0.5297    0.5406    0.3193   0.04009    0.4006   0.02536
   141/499     10.8G   0.03096   0.08757  0.006046    0.1246       639      1376    0.6021    0.5401    0.5412    0.3195   0.04008    0.4007   0.02535
   142/499     10.8G   0.03098   0.09007  0.005979     0.127       290      1376    0.6021    0.5406    0.5416    0.3197   0.04007    0.4007   0.02533
   143/499     10.8G    0.0312    0.0897  0.006118     0.127       325      1376    0.6025    0.5415    0.5424    0.3202   0.04007    0.4009    0.0253
   144/499     10.8G   0.03101   0.08929  0.006014    0.1263       301      1376    0.6035    0.5423    0.5428    0.3209   0.04006     0.401   0.02529
   145/499     10.8G     0.031   0.08888  0.006006    0.1259       187      1376    0.6008    0.5456    0.5435    0.3211   0.04004    0.4012   0.02528
   146/499     10.8G   0.03099   0.08896  0.005963    0.1259       416      1376    0.5992     0.547    0.5438    0.3213   0.04002    0.4015   0.02527
   147/499     10.8G   0.03091   0.09002  0.006037     0.127        87      1376    0.5982    0.5476    0.5435    0.3213   0.04001    0.4016   0.02525
   148/499     10.8G   0.03102   0.08803  0.006011    0.1251       148      1376    0.6047    0.5436    0.5441    0.3215      0.04    0.4016   0.02525
   149/499     10.8G   0.03095   0.08861  0.005918    0.1255       333      1376    0.5917    0.5555    0.5444    0.3221   0.03998    0.4017   0.02524
   150/499     10.8G   0.03081   0.08951  0.005864    0.1262       153      1376    0.5998    0.5484    0.5443    0.3223   0.03996    0.4019   0.02525
   151/499     10.8G   0.03091   0.08848  0.005907    0.1253       126      1376    0.5977    0.5516    0.5441    0.3225   0.03994    0.4022   0.02524
   152/499     10.8G   0.03101   0.08955  0.005957    0.1265       295      1376    0.6046    0.5467    0.5446    0.3227   0.03993    0.4023   0.02524
   153/499     10.8G   0.03092   0.08922  0.005927    0.1261       116      1376    0.6063    0.5464    0.5448    0.3228   0.03991    0.4025   0.02524
   154/499     10.8G   0.03078   0.08836  0.005927    0.1251       161      1376    0.6136      0.54     0.545    0.3229    0.0399    0.4026   0.02524
